"id","tyc","gaia","hyg","hip","hd","hr","gl","bayer","flam","con","proper","ra","dec","pos_src","dist","x0","y0","z0","dist_src","mag","absmag","ci","mag_src","rv","rv_src","pm_ra","pm_dec","pm_src","vx","vy","vz","spect","spect_src"
"2212014","9100-1263-1","6454059557705095936","101446","101773","195961","7859","","Rho","","Pav","","20.62647576","-61.52991906","T","62.2799","18.843","-22.942","-54.748","G_R3","4.86","0.888","0.447","HIP","10.288","G_R3","59.282","-72.196","G_R3","4.745","21.798","-19.204","FM DELTA DEL","T"
"2211969","8411-1822-1","6674382927491854848","101445","101772","196171","7869","Gl 794.1","Alp","","Ind","","20.62612049","-47.29150209","T","30.3962","13.084","-15.933","-22.336","G_R3","3.11","0.696","0.998","HIP","-1.3","HYG","50.922","66.026","G_R3","9.548","-0.065","7.408","K0 IIICNIII/IV","T"
"2213778","5177-1878-1","4226301630912281600","101519","101847","196574","7884","","","71","Aql","","20.63896785","-1.10511663","T","87.4887","55.739","-67.414","-1.687","G_R3","4.31","-0.4","0.949","HIP","-9.351","G_R3","18.766","-19.647","G_R3","-0.059","12.286","-7.966","G8 II/III","T"
"2214193","1645-2169-1","1817664729867336704","101539","101867","196724","7891","","","29","Vul","","20.64203791","21.20118746","T","54.8098","32.5937","-39.3557","19.8214","G_R3","4.81","1.116","-0.03","HIP","-22.1","G_R3","69.968","7.444","G_R3","0.413","28.003","-6.189","A0V","T"
"2214221","2157-1647-1","1819379968005589120","101540","101868","196740","7894","","","28","Vul","","20.64219841","24.11595778","T","166.5981","96.992","-117.106","68.069","G_R3","5.06","-1.048","-0.133","HIP","-22.0","HYG","9.807","-7.535","G_R3","-5.293","18.532","-14.42","B5V","T"
"2215955","5767-2439-1","6863409385992156800","101594","101923","196662","7889","","Tau","14","Cap","","20.65453492","-14.95477825","T","348.4321","215.562","-258.56","-89.915","HIP","5.24","-2.471","-0.129","HIP","-5.0","HYG","2.58","-19.66","HYG","-5.186","12.876","-30.083","B7 III","T"
"2216267","511-1136-1","4231171058672649856","101607","101936","196758","7897","","","1","Aqr","","20.65691408","0.48645087","T","80.7415","51.739","-61.9809","0.6857","G_R3","5.15","0.615","1.06","HIP","-43.0","HYG","96.805","-10.14","G_R3","0.911","56.728","-4.246","K0 III","T"
"2215619","1092-1776-1","1754191435419155456","101587","101916","196755","7896","","Kap","7","Del","","20.65216201","10.08620498","T","30.0108","18.906","-22.706","5.256","G_R3","5.07","2.684","0.702","HIP","-54.097","G_R3","317.681","32.566","G_R3","0.132","70.473","-4.913","G5IV","T"
"2216760","1633-2442-1","1810711143451975296","101629","101958","196867","7906","","Alp","9","Del","Sualocin","20.660635","15.912072","HIP_X","72.8343","44.9382","-53.7275","19.9688","G_R3","3.77","-0.542","-0.057","HIP","-3.0","HYG","71.574","-30.655","G_R3","18.966","15.842","-11.001","B9V","HYG"
"2220894","3574-3347-1","","101767","102098","197345","7924","","Alp","50","Cyg","Deneb","20.69053151","45.28033423","T","432.9004","197.251","-232.113","307.601","HIP","1.25","-6.932","0.092","HIP","-5.0","HYG","1.56","1.55","HYG","-1.302","6.476","-1.315","A2I","T"
"2217703","6335-1121-1","6861481701590665984","101655","101984","196777","7900","","Ups","15","Cap","","20.66748474","-18.13866131","T","193.3516","118.138","-140.73","-60.194","G_R3","5.15","-1.282","1.647","HIP","-10.726","G_R3","-22.764","-22.17","G_R3","-26.602","-0.763","-15.971","M1 III","T"
